# x	y	u	v	flags	mask
1.5352e+04	7.3521e+04	9.7804e+01	7.0002e-01	0.0000e+00	0.0000e+00
1.6338e+04	7.3521e+04	1.2266e+01	-3.4333e+00	0.0000e+00	0.0000e+00
1.7324e+04	7.3521e+04	-2.2509e+01	3.5148e+01	0.0000e+00	0.0000e+00
1.8310e+04	7.3521e+04	0.0000e+00	-7.3715e+01	0.0000e+00	0.0000e+00
1.9296e+04	7.3521e+04	1.8522e-01	1.4217e+01	1.0000e+00	0.0000e+00
2.0282e+04	7.3521e+04	1.6859e+02	-1.6516e+02	0.0000e+00	0.0000e+00
2.1268e+04	7.3521e+04	-1.9256e-01	6.0824e+01	0.0000e+00	0.0000e+00
2.2254e+04	7.3521e+04	8.4649e+01	-0.0000e+00	0.0000e+00	0.0000e+00
2.3239e+04	7.3521e+04	9.7835e+01	-2.3115e+01	0.0000e+00	0.0000e+00
2.4225e+04	7.3521e+04	-1.2464e+02	-2.2345e+01	0.0000e+00	0.0000e+00
2.5211e+04	7.3521e+04	7.6807e+01	5.2961e+01	0.0000e+00	0.0000e+00
2.6197e+04	7.3521e+04	4.5249e+01	2.9470e+01	0.0000e+00	0.0000e+00
2.7183e+04	7.3521e+04	-4.7309e+01	-6.6158e+01	0.0000e+00	0.0000e+00
2.8169e+04	7.3521e+04	-7.1933e+01	-1.1351e+02	0.0000e+00	0.0000e+00
2.9155e+04	7.3521e+04	-2.2858e+01	4.1878e+00	0.0000e+00	0.0000e+00
3.0141e+04	7.3521e+04	-1.7756e+02	7.0734e+01	0.0000e+00	0.0000e+00
3.1127e+04	7.3521e+04	-1.6375e+01	1.9980e+02	0.0000e+00	0.0000e+00
3.2113e+04	7.3521e+04	1.2063e+02	-7.2236e+01	0.0000e+00	0.0000e+00
3.3099e+04	7.3521e+04	7.0445e+01	1.0108e+01	0.0000e+00	0.0000e+00
3.4085e+04	7.3521e+04	2.3666e+02	1.1127e+01	0.0000e+00	0.0000e+00
3.5070e+04	7.3521e+04	4.5421e+00	4.4641e+01	1.0000e+00	0.0000e+00
3.6056e+04	7.3521e+04	1.4034e+02	-6.8606e+01	0.0000e+00	0.0000e+00
3.7042e+04	7.3521e+04	-4.7344e+01	-9.9557e+01	0.0000e+00	0.0000e+00
3.8028e+04	7.3521e+04	-1.0911e+02	6.5784e+01	1.0000e+00	0.0000e+00
3.9014e+04	7.3521e+04	-6.9487e+01	-2.7487e+02	0.0000e+00	0.0000e+00
4.0000e+04	7.3521e+04	-2.9366e-01	-2.1861e+02	0.0000e+00	0.0000e+00
4.0986e+04	7.3521e+04	-5.4617e+02	-7.5964e+01	0.0000e+00	0.0000e+00
4.1972e+04	7.3521e+04	3.6837e+01	-5.3700e+01	0.0000e+00	0.0000e+00
4.2958e+04	7.3521e+04	5.3885e+00	-5.7799e+01	0.0000e+00	0.0000e+00
4.3944e+04	7.3521e+04	8.7269e+01	-5.9442e+01	0.0000e+00	0.0000e+00
4.4930e+04	7.3521e+04	2.3695e+01	-6.2425e+01	0.0000e+00	0.0000e+00
4.5915e+04	7.3521e+04	-9.8038e+00	-4.9080e+01	0.0000e+00	0.0000e+00
4.6901e+04	7.3521e+04	-2.2306e+01	-5.6461e+00	0.0000e+00	0.0000e+00
4.7887e+04	7.3521e+04	2.4604e+01	-2.0903e+02	0.0000e+00	0.0000e+00
4.8873e+04	7.3521e+04	-2.9346e+00	-3.2075e+02	0.0000e+00	0.0000e+00
4.9859e+04	7.3521e+04	4.7299e+01	-7.5514e+01	0.0000e+00	0.0000e+00
